Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
2017-01-03T00:00:00,0.52,TRUE,0.53,0.65,0.89,1.22,1.5,1.94,2.26,2.45,2.78,3.04
2017-01-04T00:00:00,0.49,TRUE,0.53,0.63,0.87,1.24,1.5,1.94,2.26,2.46,2.78,3.05
2017-01-05T00:00:00,0.51,TRUE,0.52,0.62,0.83,1.17,1.43,1.86,2.18,2.37,2.69,2.96
2017-01-06T00:00:00,0.5,TRUE,0.53,0.61,0.85,1.22,1.5,1.92,2.23,2.42,2.73,3
2017-01-09T00:00:00,0.5,TRUE,0.5,0.6,0.82,1.21,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-10T00:00:00,0.51,TRUE,0.52,0.6,0.82,1.19,1.47,1.89,2.18,2.38,2.69,2.97
2017-01-11T00:00:00,0.51,TRUE,0.52,0.6,0.82,1.2,1.47,1.89,2.18,2.38,2.68,2.96
2017-01-12T00:00:00,0.52,TRUE,0.52,0.59,0.81,1.18,1.45,1.87,2.17,2.36,2.68,3.01
2017-01-13T00:00:00,0.52,TRUE,0.53,0.61,0.82,1.21,1.48,1.9,2.2,2.4,2.71,2.99
2017-01-17T00:00:00,0.52,TRUE,0.55,0.62,0.8,1.17,1.42,1.84,2.14,2.33,2.66,2.93
2017-01-18T00:00:00,0.48,TRUE,0.53,0.63,0.82,1.23,1.51,1.93,2.24,2.42,2.74,3
2017-01-19T00:00:00,0.47,TRUE,0.52,0.62,0.83,1.25,1.53,1.97,2.28,2.47,2.77,3.04
2017-01-20T00:00:00,0.46,TRUE,0.5,0.62,0.82,1.2,1.5,1.95,2.28,2.48,2.79,3.05
2017-01-23T00:00:00,0.46,TRUE,0.51,0.59,0.79,1.16,1.43,1.88,2.19,2.41,2.72,2.99
2017-01-24T00:00:00,0.5,TRUE,0.51,0.62,0.81,1.21,1.49,1.94,2.27,2.47,2.78,3.05
2017-01-25T00:00:00,0.48,TRUE,0.5,0.61,0.82,1.23,1.52,1.99,2.33,2.53,2.84,3.1
2017-01-26T00:00:00,0.49,TRUE,0.51,0.62,0.82,1.21,1.49,1.95,2.3,2.51,2.82,3.08
2017-01-27T00:00:00,0.49,TRUE,0.52,0.63,0.82,1.22,1.48,1.94,2.28,2.49,2.8,3.06
2017-01-30T00:00:00,0.49,TRUE,0.51,0.63,0.81,1.22,1.48,1.94,2.28,2.49,2.82,3.08
2017-01-31T00:00:00,0.5,TRUE,0.52,0.64,0.84,1.19,1.46,1.9,2.24,2.45,2.78,3.05
2017-02-01T00:00:00,0.5,TRUE,0.51,0.65,0.83,1.22,1.49,1.93,2.27,2.48,2.8,3.08
2017-02-02T00:00:00,0.5,TRUE,0.52,0.64,0.84,1.21,1.48,1.92,2.27,2.48,2.8,3.09
2017-02-03T00:00:00,0.49,TRUE,0.51,0.63,0.82,1.21,1.49,1.93,2.27,2.49,2.82,3.11
2017-02-06T00:00:00,0.48,TRUE,0.53,0.62,0.79,1.16,1.43,1.86,2.19,2.42,2.76,3.05
2017-02-07T00:00:00,0.51,TRUE,0.53,0.63,0.8,1.16,1.43,1.85,2.17,2.4,2.74,3.02
2017-02-08T00:00:00,0.52,TRUE,0.54,0.63,0.79,1.15,1.4,1.81,2.14,2.34,2.68,2.96
2017-02-09T00:00:00,0.51,TRUE,0.54,0.64,0.8,1.2,1.46,1.88,2.2,2.4,2.74,3.02
2017-02-10T00:00:00,0.51,TRUE,0.55,0.64,0.81,1.2,1.47,1.89,2.22,2.41,2.75,3.01
2017-02-13T00:00:00,0.5,TRUE,0.52,0.63,0.82,1.2,1.48,1.92,2.24,2.43,2.77,3.03
2017-02-14T00:00:00,0.51,TRUE,0.54,0.66,0.84,1.25,1.53,1.98,2.29,2.47,2.81,3.07
2017-02-15T00:00:00,0.53,TRUE,0.54,0.67,0.86,1.27,1.57,2.01,2.33,2.51,2.84,3.09
2017-02-16T00:00:00,0.51,TRUE,0.53,0.66,0.82,1.22,1.5,1.95,2.26,2.45,2.8,3.05
2017-02-17T00:00:00,0.5,TRUE,0.53,0.66,0.82,1.21,1.48,1.92,2.23,2.42,2.78,3.03
2017-02-21T00:00:00,0.49,TRUE,0.53,0.69,0.83,1.22,1.5,1.93,2.24,2.43,2.78,3.04
2017-02-22T00:00:00,0.47,TRUE,0.52,0.68,0.82,1.22,1.49,1.92,2.23,2.42,2.78,3.04
2017-02-23T00:00:00,0.39,TRUE,0.51,0.66,0.81,1.18,1.44,1.87,2.2,2.38,2.75,3.02
2017-02-24T00:00:00,0.4,TRUE,0.52,0.65,0.8,1.12,1.38,1.8,2.12,2.31,2.69,2.95
2017-02-27T00:00:00,0.44,TRUE,0.5,0.68,0.81,1.2,1.46,1.87,2.18,2.36,2.72,2.98
2017-02-28T00:00:00,0.4,TRUE,0.53,0.69,0.88,1.22,1.49,1.89,2.19,2.36,2.7,2.97
2017-03-01T00:00:00,0.46,TRUE,0.63,0.79,0.92,1.29,1.57,1.99,2.29,2.46,2.81,3.06
2017-03-02T00:00:00,0.52,TRUE,0.67,0.84,0.98,1.32,1.6,2.03,2.32,2.49,2.84,3.09
2017-03-03T00:00:00,0.56,TRUE,0.71,0.84,0.98,1.32,1.59,2.02,2.32,2.49,2.83,3.08
2017-03-06T00:00:00,0.56,TRUE,0.74,0.83,0.97,1.31,1.6,2.02,2.32,2.49,2.84,3.1
2017-03-07T00:00:00,0.55,TRUE,0.76,0.87,1.02,1.32,1.62,2.05,2.34,2.52,2.85,3.11
2017-03-08T00:00:00,0.54,TRUE,0.73,0.86,1.03,1.36,1.65,2.08,2.38,2.57,2.89,3.15
2017-03-09T00:00:00,0.5,TRUE,0.73,0.88,1.04,1.37,1.67,2.13,2.43,2.6,2.94,3.19
2017-03-10T00:00:00,0.6,TRUE,0.75,0.89,1.03,1.36,1.66,2.11,2.4,2.58,2.94,3.16
2017-03-13T00:00:00,0.69,TRUE,0.79,0.93,1.06,1.4,1.69,2.14,2.43,2.62,2.97,3.2
2017-03-14T00:00:00,0.77,TRUE,0.78,0.93,1.06,1.4,1.68,2.13,2.42,2.6,2.94,3.17
2017-03-15T00:00:00,0.71,TRUE,0.73,0.89,1.02,1.33,1.59,2.02,2.31,2.51,2.87,3.11
2017-03-16T00:00:00,0.68,TRUE,0.73,0.89,1.01,1.35,1.63,2.05,2.34,2.53,2.89,3.14
2017-03-17T00:00:00,0.71,TRUE,0.73,0.87,1,1.33,1.6,2.03,2.31,2.5,2.86,3.11
2017-03-20T00:00:00,0.7,TRUE,0.76,0.89,1.01,1.3,1.57,2,2.28,2.47,2.83,3.08
2017-03-21T00:00:00,0.76,TRUE,0.77,0.91,1,1.27,1.54,1.96,2.24,2.43,2.79,3.04
2017-03-22T00:00:00,0.74,TRUE,0.77,0.9,0.99,1.27,1.52,1.95,2.22,2.4,2.76,3.02
