Date_Time,actual,predicted,previous_day_bo,Long/Short,Profit (pips)
2018-03-12,1.23208125,1.2312645,1.2308612000000003,Long,0.001220049999999695
2018-03-13,1.2356808333333336,1.2349716,1.23208125,Long,0.0035995833333335447
2018-03-14,1.2379995833333333,1.2370766,1.2356808333333336,Long,0.002318749999999703
2018-03-15,1.234614583333333,1.2335029,1.2379995833333333,Short,0.0033850000000001934
2018-03-16,1.2300179166666665,1.229089,1.234614583333333,Short,0.004596666666666582
2018-03-19,1.2300075,1.2292732,1.2300179166666665,Short,1.0416666666568375e-05
2018-03-20,1.2299154166666666,1.2288064,1.2300075,Short,9.208333333332597e-05
2018-03-21,1.2284008333333334,1.2277713,1.2299154166666666,Short,0.0015145833333332082
2018-03-22,1.23317125,1.2321303,1.2284008333333334,Long,0.004770416666666666
2018-03-23,1.23421375,1.2334242,1.23317125,Long,0.0010425000000000573
2018-03-26,1.2407791666666668,1.2402468,1.23421375,Long,0.006565416666666657
2018-03-27,1.242147916666667,1.241124,1.2407791666666668,Long,0.0013687500000001407
2018-03-28,1.2370066666666666,1.235719,1.242147916666667,Short,0.005141250000000319
2018-03-29,1.2310433333333333,1.2300454,1.2370066666666666,Short,0.0059633333333333205
2018-04-02,1.2315395833333334,1.2305079,1.2310433333333333,Short,-0.0004962500000000869
2018-04-03,1.2289170833333332,1.2279607,1.2315395833333334,Short,0.002622500000000194
2018-04-04,1.2283529166666665,1.2274333,1.2289170833333332,Short,0.0005641666666666989
2018-04-05,1.2257429166666665,1.2247238,1.2283529166666665,Short,0.002610000000000001
2018-04-06,1.2255858333333334,1.2246817,1.2257429166666665,Short,0.00015708333333308566
2018-04-09,1.2295058333333333,1.2286711,1.2255858333333334,Long,0.0039199999999999235
2018-04-10,1.2335354166666666,1.2327254,1.2295058333333333,Long,0.004029583333333253
2018-04-11,1.2369029166666667,1.2360219,1.2335354166666666,Long,0.00336750000000019
2018-04-12,1.2341279166666663,1.2330618,1.2369029166666667,Short,0.002775000000000416
2018-04-13,1.2328150000000004,1.2318864,1.2341279166666663,Short,0.0013129166666658865
2018-04-16,1.236036666666667,1.2360001,1.2328150000000004,Long,0.003221666666666456
2018-04-17,1.2372174999999996,1.2362204,1.236036666666667,Long,0.0011808333333327425
2018-04-18,1.2375383333333334,1.2366354,1.2372174999999996,Short,-0.00032083333333376984
2018-04-19,1.2363587500000002,1.2354022,1.2375383333333334,Short,0.001179583333333234
2018-04-20,1.2307075,1.2297018,1.2363587500000002,Short,0.005651250000000108
2018-04-23,1.2238558333333334,1.2229638,1.2307075,Short,0.0068516666666667
2018-04-24,1.2217804166666668,1.2211252,1.2238558333333334,Short,0.002075416666666552
2018-04-25,1.2194191666666667,1.2187114,1.2217804166666668,Short,0.0023612500000000924
2018-04-26,1.2150220833333332,1.214329,1.2194191666666667,Short,0.004397083333333551
2018-04-27,1.2101737499999998,1.2097266,1.2150220833333332,Short,0.004848333333333343
2018-04-30,1.2101116666666667,1.2094787,1.2101737499999998,Short,6.208333333312943e-05
2018-05-01,1.2031379166666667,1.2024484,1.2101116666666667,Short,0.006973750000000001
2018-05-02,1.198491666666667,1.197884,1.2031379166666667,Short,0.004646249999999741
2018-05-03,1.19800625,1.1975864,1.198491666666667,Short,0.00048541666666701566
2018-05-04,1.1965595833333331,1.1953797,1.19800625,Short,0.0014466666666668182
2018-05-07,1.1933945833333333,1.192669,1.1965595833333331,Short,0.0031649999999998624
2018-05-08,1.1886583333333334,1.1877022,1.1933945833333333,Short,0.004736249999999886
2018-05-09,1.18563875,1.1847653,1.1886583333333334,Short,0.0030195833333332978
2018-05-10,1.1888141666666667,1.1882191,1.18563875,Long,0.003175416666666653
2018-05-11,1.1932287500000005,1.1926222,1.1888141666666667,Long,0.004414583333333777
2018-05-14,1.1961866666666665,1.1955642,1.1932287500000005,Long,0.002957916666666005
2018-05-15,1.1886758333333336,1.1876915,1.1961866666666665,Short,0.007510833333332911
2018-05-16,1.1812754166666666,1.1802621,1.1886758333333336,Short,0.00740041666666702
2018-05-17,1.1804941666666666,1.1795026,1.1812754166666666,Short,0.0007812499999999556
2018-05-18,1.178586666666667,1.1775,1.1804941666666666,Short,0.0019074999999997289
2018-05-21,1.1760016666666668,1.1749672,1.178586666666667,Short,0.0025850000000000595
2018-05-22,1.1786975000000002,1.1776907,1.1760016666666668,Long,0.0026958333333333417
2018-05-23,1.1724441666666665,1.1710835,1.1786975000000002,Short,0.006253333333333666
2018-05-24,1.1719154166666668,1.1707987,1.1724441666666665,Short,0.0005287499999997447
2018-05-25,1.16891375,1.1674736,1.1719154166666668,Short,0.0030016666666667913
2018-05-29,1.1573454166666666,1.1556375,1.16891375,Short,0.011568333333333403
2018-05-30,1.160677916666667,1.1595644,1.1573454166666666,Long,0.0033325000000004046
2018-05-31,1.1679620833333335,1.1667429,1.160677916666667,Long,0.007284166666666536
2018-06-01,1.1675808333333333,1.1658185,1.1679620833333335,Short,0.0003812500000002217
2018-06-04,1.169809583333333,1.1686825,1.1675808333333333,Long,0.0022287499999997795
2018-06-05,1.1695604166666669,1.1684198,1.169809583333333,Short,0.0002491666666661896
2018-06-06,1.1754583333333333,1.1745366,1.1695604166666669,Long,0.005897916666666392
2018-06-07,1.1806675,1.1797228,1.1754583333333333,Long,0.005209166666666709
2018-06-08,1.1787914285714287,1.1779408,1.1806675,Short,0.0018760714285712687
2018-06-11,1.1791604166666667,1.1781288,1.1787914285714287,Short,-0.0003689880952379987
2018-06-12,1.1770654166666663,1.1756914,1.1791604166666667,Short,0.002095000000000402
2018-06-13,1.1763916666666667,1.1757917,1.1770654166666663,Short,0.0006737499999995844
2018-06-14,1.1716650000000002,1.1775436,1.1763916666666667,Long,-0.004726666666666546
2018-06-15,1.158829583333333,1.1574476,1.1716650000000002,Short,0.012835416666667099
2018-06-18,1.160043333333333,1.1587739,1.158829583333333,Short,-0.0012137500000000134
2018-06-19,1.1586970833333334,1.1571176,1.160043333333333,Short,0.0013462499999996602
2018-06-20,1.157685,1.1561635,1.1586970833333334,Short,0.0010120833333333579
2018-06-21,1.1576708333333334,1.1562499,1.157685,Short,1.4166666666648453e-05
2018-06-22,1.16399375,1.1627779,1.1576708333333334,Long,0.0063229166666665115
2018-06-25,1.167166666666667,1.1660339,1.16399375,Long,0.0031729166666669695
2018-06-26,1.167555,1.1661384,1.167166666666667,Short,-0.0003883333333329908
2018-06-27,1.1613629166666664,1.1596489,1.167555,Short,0.006192083333333542
2018-06-28,1.15674625,1.1551646,1.1613629166666664,Short,0.004616666666666269
2018-06-29,1.1644491666666668,1.1634088,1.15674625,Long,0.00770291666666667
2018-07-02,1.1633729166666666,1.1618993,1.1644491666666668,Short,0.0010762500000001118
2018-07-03,1.1648695833333331,1.1635585,1.1633729166666666,Long,0.0014966666666664796
2018-07-05,1.1684429166666668,1.1672056,1.1648695833333331,Long,0.0035733333333336503
2018-07-06,1.1719987499999998,1.1709647,1.1684429166666668,Long,0.0035558333333329806
2018-07-09,1.17592875,1.1747091,1.1719987499999998,Long,0.003930000000000211
2018-07-10,1.1735079166666669,1.1721686,1.17592875,Short,0.0024208333333330945
2018-07-11,1.1710825,1.1701531,1.1735079166666669,Short,0.0024254166666668464
2018-07-12,1.1673933333333333,1.1660165,1.1710825,Short,0.0036891666666667433
2018-07-13,1.16587625,1.1644583,1.1673933333333333,Short,0.0015170833333333356
2018-07-16,1.1701004166666666,1.1699498,1.16587625,Long,0.0042241666666666955
2018-07-17,1.1694408333333337,1.1680002,1.1701004166666666,Short,0.000659583333332936
2018-07-18,1.1638808333333337,1.1624641,1.1694408333333337,Short,0.005560000000000009
2018-07-19,1.1626733333333334,1.1612543,1.1638808333333337,Short,0.00120750000000025
2018-07-20,1.1681975,1.1671102,1.1626733333333334,Long,0.005524166666666552
2018-07-23,1.1712270833333334,1.1698911,1.1681975,Long,0.0030295833333333633
2018-07-24,1.1688725000000002,1.1675177,1.1712270833333334,Short,0.00235458333333316
2018-07-25,1.1695366666666664,1.16835,1.1688725000000002,Short,-0.0006641666666662438
2018-07-26,1.1693620833333334,1.1678305,1.1695366666666664,Short,0.00017458333333308929
2018-07-27,1.164667083333333,1.1633132,1.1693620833333334,Short,0.004695000000000338
2018-07-30,1.1684233333333334,1.1672612,1.164667083333333,Long,0.0037562500000003496
2018-07-31,1.1708541666666668,1.1695154,1.1684233333333334,Long,0.002430833333333382
2018-08-01,1.1676,1.1662486,1.1708541666666668,Short,0.00325416666666678
2018-08-02,1.1622241666666668,1.1605438,1.1676,Short,0.005375833333333135
2018-08-03,1.158122916666667,1.15659,1.1622241666666668,Short,0.004101249999999945
2018-08-06,1.15557,1.1539998,1.158122916666667,Short,0.0025529166666669045
2018-08-07,1.1582858333333337,1.1568623,1.15557,Long,0.002715833333333695
2018-08-08,1.1603729166666668,1.1589651,1.1582858333333337,Long,0.002087083333333073
2018-08-09,1.1579358333333334,1.1561537,1.1603729166666668,Short,0.0024370833333333675
2018-08-10,1.1451979166666668,1.1431185,1.1579358333333334,Short,0.012737916666666571
