,Date_Time,BO,BH,BL,BC
1950,2012-10-22,1.30523,1.3061229166666666,1.3045820833333333,1.3054350000000001
1951,2012-10-23,1.30107375,1.3015625,1.3000816666666666,1.3006754166666668
1952,2012-10-24,1.29649375,1.2973770833333333,1.295498333333333,1.2964570833333333
1953,2012-10-25,1.2972725000000003,1.2980433333333334,1.2963391666666666,1.2971666666666668
1954,2012-10-26,1.293060833333333,1.29397625,1.2922091666666666,1.2929683333333333
1955,2012-10-29,1.291003333333333,1.2915704166666668,1.2903220833333333,1.29093875
1956,2012-10-30,1.294090416666667,1.2949875000000002,1.2935279166666664,1.29431875
1957,2012-10-31,1.29715875,1.2978599999999998,1.2965091666666666,1.2971770833333331
1958,2012-11-01,1.2951654166666666,1.2958366666666667,1.2944137499999997,1.29509
1959,2012-11-02,1.2878017391304348,1.2884308695652174,1.286658695652174,1.287353043478261
1960,2012-11-05,1.2801566666666668,1.2808195833333336,1.27931125,1.28005875
1961,2012-11-06,1.2799504166666666,1.2807100000000002,1.27919875,1.2799725
1962,2012-11-07,1.2800208333333332,1.28108125,1.2788804166666663,1.2798212500000001
1963,2012-11-08,1.2748741666666672,1.2756895833333333,1.2738079166666667,1.2748133333333334
1964,2012-11-09,1.2732104166666665,1.2741308333333332,1.2724129166666667,1.2731187500000003
1965,2012-11-12,1.2716108333333331,1.2721795833333334,1.2711237499999999,1.2715545833333335
1966,2012-11-13,1.2694404166666662,1.2702725000000001,1.2686250000000001,1.2694654166666666
1967,2012-11-14,1.2731029166666663,1.2740520833333335,1.27240125,1.2731916666666667
1968,2012-11-15,1.2757041666666669,1.27663,1.2751358333333334,1.2759216666666666
1969,2012-11-16,1.2745854166666666,1.2753375,1.2737025,1.2744691666666665
1970,2012-11-19,1.2778712499999998,1.2787229166666667,1.2770687499999998,1.2779020833333334
1971,2012-11-20,1.279929583333333,1.2810191666666666,1.2792783333333333,1.28012
1972,2012-11-21,1.27999625,1.28102125,1.2792470833333331,1.2802133333333334
1973,2012-11-22,1.2864845833333332,1.2872533333333336,1.2856695833333334,1.28652375
1974,2012-11-23,1.2920312499999997,1.2930433333333335,1.2914687500000002,1.2924766666666665
1975,2012-11-26,1.296395416666667,1.2971825000000001,1.29563625,1.2964662500000002
1976,2012-11-27,1.2959754166666666,1.2966125000000004,1.2950645833333332,1.295766666666667
1977,2012-11-28,1.2924720833333332,1.2932316666666666,1.2917041666666667,1.2925295833333335
1978,2012-11-29,1.29686875,1.2976954166666665,1.2961608333333334,1.2969487499999997
1979,2012-11-30,1.2996670833333335,1.3006070833333332,1.2988950000000001,1.2997808333333334
1980,2012-12-03,1.3041595833333333,1.3051358333333332,1.3034791666666667,1.3044420833333332
1981,2012-12-04,1.3075933333333334,1.3083358333333335,1.3069629166666668,1.3077391666666667
1982,2012-12-05,1.3089608333333336,1.3096141666666667,1.30823625,1.3088579166666667
1983,2012-12-06,1.3025687499999998,1.3032566666666667,1.3014475,1.3021049999999998
1984,2012-12-07,1.2935675,1.2942970833333336,1.2925966666666664,1.2934925000000002
1985,2012-12-10,1.2917762499999998,1.2924879166666663,1.2912266666666665,1.291902916666667
1986,2012-12-11,1.2971691666666667,1.29819125,1.2967012500000001,1.2974854166666667
1987,2012-12-12,1.3031570833333335,1.3041141666666667,1.30264,1.30338
1988,2012-12-13,1.3073004166666669,1.3080783333333335,1.3065237499999998,1.3073499999999998
1989,2012-12-14,1.3109537500000001,1.3120883333333335,1.3101383333333336,1.3112966666666666
1990,2012-12-17,1.3159499999999997,1.3165945833333335,1.3152899999999998,1.3159329166666667
1991,2012-12-18,1.3189541666666666,1.3197562500000002,1.3185879166666665,1.31923
1992,2012-12-19,1.3249366666666664,1.3258454166666667,1.3241566666666664,1.3248683333333335
1993,2012-12-20,1.3235075,1.324465,1.3226545833333334,1.32361
1994,2012-12-21,1.3193283333333337,1.3203233333333333,1.3183045833333333,1.3191395833333335
1995,2012-12-24,1.31954,1.3201631578947368,1.3189731578947368,1.3195726315789473
1996,2012-12-25,,,,
1997,2012-12-26,1.321937272727273,1.3229245454545455,1.3213309090909091,1.3222981818181816
1998,2012-12-27,1.3242579166666666,1.3251550000000003,1.323449583333333,1.324335
1999,2012-12-28,1.3221299999999998,1.3229391666666663,1.32128,1.3220579166666668
2000,2012-12-31,1.3200573684210528,1.3209594736842105,1.319098947368421,1.3199026315789475
2001,2013-01-01,,,,
2002,2013-01-02,1.323028947368421,1.3239426315789473,1.3215915789473685,1.32262
2003,2013-01-03,1.3116654166666666,1.3125020833333336,1.3101900000000002,1.310999166666667
2004,2013-01-04,1.3037191666666665,1.30482125,1.3029045833333333,1.3038720833333335
2005,2013-01-07,1.3065662499999997,1.3076791666666667,1.3058704166666664,1.3068004166666665
2006,2013-01-08,1.3101079166666665,1.3108674999999999,1.3091179166666664,1.3099366666666667
2007,2013-01-09,1.3066829166666667,1.3075279166666667,1.3058299999999996,1.3065616666666666
2008,2013-01-10,1.3137483333333333,1.3152737500000002,1.3130866666666667,1.3146608333333332
2009,2013-01-11,1.3297949999999998,1.3310000000000002,1.32895125,1.3300695833333334
2010,2013-01-14,1.3371137500000003,1.3381212500000002,1.3362170833333336,1.33719625
2011,2013-01-15,1.3343616666666664,1.335314583333333,1.3328491666666669,1.3340770833333335
2012,2013-01-16,1.3289133333333334,1.3299616666666665,1.3276975,1.328812916666667
2013,2013-01-17,1.3336366666666668,1.3347845833333334,1.3327070833333332,1.33400625
2014,2013-01-18,1.3345754166666666,1.3354866666666665,1.3333691666666667,1.33437
2015,2013-01-21,1.3315116666666666,1.3321712499999998,1.3308570833333333,1.3314729166666663
2016,2013-01-22,1.3322237499999998,1.333315,1.3311408333333332,1.3322433333333332
2017,2013-01-23,1.3315558333333335,1.3324758333333333,1.3305245833333335,1.3315366666666668
2018,2013-01-24,1.3338287500000001,1.3350529166666665,1.3330429166666666,1.334088333333333
2019,2013-01-25,1.3420933333333334,1.3434562499999998,1.34129875,1.3424891666666665
